[2026-02-07--11-37-02 INFO actix_server::builder] starting 5 workers
[2026-02-07--11-37-02 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-07--11-37-02 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-07--11-37-02 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-07--11-37-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44652.
[2026-02-07--11-37-03 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.001264
[2026-02-07--11-37-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52240.
[2026-02-07--11-37-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41734.
[2026-02-07--11-37-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41736.
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 7612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.016142
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000121
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/0d143f211c7df892.css HTTP/1.1" 200 27323 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.002119
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-cd9d82e885c4ebdc.js HTTP/1.1" 200 4721 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000336
[2026-02-07--11-37-30 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-f867690012ee20f6.js HTTP/1.1" 200 222 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 0.000356
